Course Number,Course Name,L,T,P,C,Name of the Instructors and Tutors,Capacity,Number of Students,Sections,Lecture,Tutorial,Lab,Link To Course Plan,Preferred Knowledge Equivalent to,Remarks,Minor in,HSS/BS elective
First Year (2026),,,,,,,,,,,,,,,,,
FP 100,Foundation Programme,0,0,0,4,,,,,,,,,,,,
ES 101 (E),Engineering Graphics,1.5,0,1.5,3,"Hari Sai Ganesh(I+L),Soumajit Dutta(L),Sameer Patel(L),S.R.Gandhi(L),Sai Praneeth(L),K.R. Jayaprakash(L)",,,,"E1
(Jasubhai Auditorium)",,"N1,N2
(Surendra C Sheth Learning Theatre,Jayshree S Sheth Learning Theatre,10/203,10/204,7/208,7/209,Jagdish Patel Learning Theatre,Harsha Patel Learning Theatre,10/104,10/105,11/101,11/102)",Course Plan,,,,
ES 101 (H),Engineering Graphics,1.5,0,1.5,3,Hari Sai Ganesh(I),,,,"G1
(7/101)",,,Course Plan,,,,
MA 103 (E),Calculus of Single Variable and Linear Algebra,3,1.5,0,4,"Abhinav Jha(I+T),Sudeshna Roy(I+T)",,,,"G1,G2
(Jasubhai Auditorium)","K1
(7/101,7/102,7/103,7/104,7/105,7/106,7/107,7/202,7/203,7/204,7/205)",,Course Plan,,,,
MA 103 (H),Calculus of Single Variable and Linear Algebra,3,1.5,0,4,"Abhinav Jha(I+T),Sudeshna Roy(I+T)",,,,"F1,F2
(13/124,13/125)",,,,,,,
ES 112 (E),Computing,3,0,3,4,Shouvick Mondal(I+L),,,,"D1,D2
(Jasubhai Auditorium)",,"J1,L1
(10/104,10/105,10/203,10/204)",Course Plan,,B.Tech. ONLY,,
ES 112 (H),Computing,3,0,3,4,Shouvick Mondal(I+L),,,,"C1,C2
(7/101)",,"J2,M2
(10/104,10/105)",Course Plan,,B.Tech. ONLY,,
ES 115 (E),"Design, Innovation, and Prototyping",1.5,0,3,5,"TBD1(I+L),TBD2(L)",,,,"E2
(Jasubhai Auditorium)",,"J2,M2
(Jasubhai Auditorium)",,,,,
ES 115 (H),"Design, Innovation, and Prototyping",1.5,0,3,5,"TBD1(I+L),TBD2(L)",,,,"E1
(7/110)",,"I1,K1
(7/110)",,,,,
HS 191,Introduction to writing I,1,3,0,2,Jooyung Kim(I+T),,,,,"B1,B2
(7/101,7/102,7/103,7/104,7/201,7/207,7/208,7/209,7/109,11/101)",,HS191_2026-27_Introduction to Writing-I_Syllabus,,,,
BS 192,Undergraduate Science Laboratory,0,0,3,3,"Partha Pratim Roy(I+L),Chandan Kumar(T),Naveen Sisodia(L),Priyabrata Ghana(L)",,,,,,"A1,A2,H1,H2,I2,L2,M1,P1,K2,P2
(PH Lab)",,,,,
PE 101,Physical Education,0,0,0,0,,,,,,,,,,,,
IN 101,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Second Year (2025),,,,,,,,,,,,,,,,,
CL 202,Chemical Engineering Thermodynamics,2,1,0,3,Kaustubh S Rane(I+T),,,,"A1,A2
(7/109)","L1
(7/109)",,Course plan,,,,
CL 203,Process Fluid Mechanics,2,1,0,3,Abinaya Sampath(I+T),,,,"E1,E2
(7/208)","L2
(7/208)",,,,,,
CL 204,Heat Transfer,2,1,0,3,Sameer V Dalvi(I+T),,,,"D1,D2
(11/102)","B2
(11/102)",,Course Plan,,,,
CS 202,Software Tools and Techniques for CSE,1.5,0,3,4,Abhishek Bichhawat(I+L),,,,"D1
(Jayshree S Sheth Learning Theatre)",,"J2,M2
(10/203,10/204)",Course Plan,,,,
CS 203,Software Tools & Techniques for AI,1.5,0,3,4,Yogesh Kumar Meena(I+L),,,,"K2
(Surendra C Sheth Learning Theatre)",,"I2,M1
(10/203,10/204)",Course webpage,,,,
GE 201,General Education II,3,0,0,2,TBD(I),,,,"P1,P2
(Jasubhai Auditorium)",,,,,,,
HS 221,Introduction to Philosophy,3,0,0,4,Jaison Manjaly(I),,,,"N1,N2
(Jasubhai Auditorium)",,,,,,,
PH 202,Introduction to Quantum Physics,3,1,0,4,"Vinod Chandra(I),Pinaki Banerjee(I+T)",,,,"B1,B2
(7/206)","H2
(13/125,11/204)",,,,,,
PH 203,Solid State Physics,3,1,0,4,Krista Roluahpuia Khiangte(I+T),,,,"M1,M2
(7/110)","D1
(7/110)",,Solid State Physics,,,,
ES 118,Materials for the Future,1.5,0,1.5,3,Amit Arora(I+L),,,,"C1
(Jagdish Patel Learning Theatre)",,"C2
(CL Lab)",,,,,
ES 204,Digital Systems,2,1,1.5,4,Manu Awasthi(I+T+L),,,,"E1,E2
(10/103)","L1
(10/103)","K1
(10/104,10/105,10/203,10/204)",,,,,
ES 243,Biology for Engineers,3,1,0,4,TBD(I+T),,,,,,,,,,,
MSE 206,Physics of Materials,3,0,0,4,Satyakam Kar(I),,,,"D1,D2
(7/105)",,,Physics of Materials,,,,
MSE 314,Materials Selection and Design,3,0,0,3,Superb Misra(I),,,,"F1,F2
(7/103)",,,,,,,
MSE 317,Materials Processing,2,1,1.5,4,"Emila Panda(I+T+L),Pradipta Ghosh(I+T+L)",,,,"F1,F2
(11/206,7/104)",,I1,,,,,
ME 207,Fluid Dynamics,3,1.5,1.5,5,"Shubhangi Shamsundar Bansude(I+T),Uddipta Ghosh(T),Lokesh Malik(L)",,,,"E1,E2
(7/109)","A1
(7/104,7/105)","K1
(ME Lab)",Course Plan ,,,,
ME 209,Principles of Manufacturing Processes,2,0,1.5,3,Rakesh Singhai(I+L),,,,"F1,F2
(7/209)",,"A2
(7/209)",,,,,
MA 205,Calculus of Several Variables (first half),3,1.5,0,2,Tanya Kaushal Srivastava(I+T),,,,"F1,F2
(Jasubhai Auditorium)","B1
(Jasubhai Auditorium)",,,,Maths Basket,,BS
MA 206,Introduction to Complex Analysis (second half),3,1.5,0,2,Projesh Nath Choudhury(I+T),,,,"F1,F2
(7/205)","B1
(7/205)",,Course Plan,,Maths Basket,,BS
MSE 202,Materials Thermodynamics,3,1,0,4,Abhay Raj Singh Gautam(I+T),,,,"E1,E2
(7/104)","H1
(7/101)",,,,,,
CE 201,Earth Materials and Processes,1.5,0,3,2,Pankaj Khanna(I+L),,,,"E1
(13/124)",,"I1,K1
(CE Lab)",,,,,
CL 201,Chemical Process Calculations,2,1.5,0,3,Pratyush Dayal(I+T),,,,"G1,G2
(10/102)","I1
(11/101)",,,,,,
ES 242,Data Structures and Algorithms I,3,0,1.5,4,"Manoj D Gupta(I+L),Anup Kalbalia(L)",,,,"G1,G2
(10/103)",,"I1
(10/104,10/105,10/203,10/204)",Course Webpage,,,,
ES 244,"Signals, Systems, and Random Processes",3,1.5,0,4,Uttama Lahiri(I+T),,,,"D1,D2
(10/103)","H2
(10/103)",,,,,,
